opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v,yaw,vx,vy,omega,acc,steer,dt
-1.3263035047073586,-3.775028942530693,0.51001694971834,0.546243692229027,-1.57465,-4.11071,-1.87798,-4.52072,-1.24977,-3.67158,0.778640352388617,1.5384065816258141,6.518816325221543,1.5384065816258141,-1.2423973159967394,3.516741532278953,1.9248229425946466,-0.4282901094912335,0.013051981766608798
-1.3029934222868902,-3.7861089686800846,0.4987730069881487,0.5598255482737459,-1.5445,-4.13248,-1.82977,-4.54162,-1.22431,-3.67326,0.7313121318467763,1.5119445289304139,6.564716771577269,1.5119445289304139,-1.2823719150879076,3.398706585156219,2.5120836464105394,-0.43121180043321433,0.017087886253568906
-1.27208658567544,-3.7999813776105458,0.4875228910523079,0.5756821874958438,-1.5064,-4.1583,-1.77323,-4.56632,-1.19133,-3.67649,0.9872043105501163,1.487879217788482,6.622793483111918,1.487879217788482,-1.328710673897929,3.2426001532879103,2.5081614748538583,-0.431481665415848,0.016078430557671743
-1.2424135785164232,-3.812155689467939,0.4789545481567114,0.5901181402058407,-1.46754,-4.1828,-1.71618,-4.59216,-1.16119,-3.67843,0.9783158547915941,1.4662967844665586,6.674929404501381,1.4662967844665586,-1.3659398688473336,3.0953181366846283,2.549941125810614,-0.43149594834670896,0.015724246184249217
-1.2129033510566944,-3.8232040004141834,0.47625176839566663,0.6029042253957091,-1.42804,-4.20589,-1.66142,-4.62104,-1.13259,-3.68034,0.9941068054437269,1.4473676324443772,6.723600948899905,1.4473676324443772,-1.3967950030940524,2.9510996082210053,2.6492683495741014,-0.368995732337165,0.015371330664958917
-1.1836251586153586,-3.833141104224374,0.4743335006090122,0.6142636718055204,-1.38803,-4.2275,-1.6063,-4.64863,-1.10536,-3.68214,1.0311922006758467,1.4316667139412977,6.768963276802002,1.4316667139412977,-1.4203520650671333,2.8313987706545207,2.792791084026377,-0.25416111146109693,0.015009993186713802
-1.1546679188214424,-3.841960889491586,0.47438788390936015,0.62511873568147,-1.34764,-4.24757,-1.55144,-4.67595,-1.07908,-3.68308,1.0786921020665672,1.418636605372272,6.811462553058113,1.418636605372272,-1.4364705982382724,2.7525631145549543,2.9693081609351273,-0.1798600469187979,0.014655354968771005
-1.1261003686099644,-3.849663565457015,0.4764131300667521,0.6373653091438221,-1.307,-4.26605,-1.49683,-4.70301,-1.05303,-3.68147,1.134819226488999,1.4082896003241463,6.851802342575508,1.4082896003241463,-1.4476721268788872,2.6989404146672586,3.147640007511633,-0.12661568552007338,0.013968436973771921
-1.0986354291223384,-3.856110809545376,0.47999686353141935,0.6507954152419946,-1.26623,-4.28293,-1.44166,-4.72972,-1.02837,-3.67716,1.0951750202880333,1.4005859064477626,6.889502321653559,1.4005859064477626,-1.4552862148438452,2.66322318533116,3.39159570790007,-0.10284745269662127,0.01526911501173009
-1.0683991910639503,-3.8621843776471256,0.4845874266837721,0.6646888791758142,-1.22186,-4.29948,-1.38232,-4.75673,-1.00176,-3.67229,1.202237785033766,1.3958463753287902,6.930167382772161,1.3958463753287902,-1.4616205701913776,2.6315232590570425,3.5892973595264057,-0.0806362740287101,0.015031113214351905
-1.0384152420641541,-3.867067186784858,0.49159028072166017,0.6799503682777146,-1.175,-4.31495,-1.3184,-4.78516,-0.976661,-3.66457,1.0934775148010438,1.3940791206960825,6.9697221068051745,1.3940791206960825,-1.4662795083424693,2.606945244025647,3.714189196499758,-0.07470352559841228,0.018732186877739525
-1.0008073023334587,-3.871758353223499,0.48752195950541594,0.6956202475064966,-1.11974,-4.33062,-1.24205,-4.80255,-0.945211,-3.65725,1.3054268865888539,1.3944858589223408,7.018555892296241,1.3944858589223408,-1.4710821156092584,2.5785690454485755,3.806993339080341,-0.06219373579817683,0.017085448659297394
-0.9662772859298072,-3.87441378560632,0.4841888293837433,0.7085965203245076,-1.06447,-4.3436,-1.16366,-4.81752,-0.919316,-3.65003,1.2057916653027405,1.3965885170978931,7.0626119013366795,1.3965885170978931,-1.4744946646654113,2.556889256402719,3.702509210346171,-0.04458276299180639,0.01859519485929044
-0.9285328109091988,-3.8756635717442296,0.4906652881547663,0.7195450765059824,-1.00549,-4.35454,-1.08334,-4.83899,-0.891322,-3.64411,1.267381063367265,1.3968074474012162,7.110157755293098,1.3968074474012162,-1.4773643140051738,2.5395479609998066,3.7211503957813985,-0.03119576124273999,0.01763276003836476
-0.8926861555188355,-3.8751776847967228,0.5067326303298424,0.7274789634374311,-0.946951,-4.36248,-1.00303,-4.8661,-0.866439,-3.63947,1.2434981848955378,1.3972560996584666,7.15493699509532,1.3972560996584666,-1.4793336181554713,2.527536615559654,3.690154257012274,-0.03833864300740886,0.01737393691954298
-0.8573913080683192,-3.873134364186333,0.531342810743686,0.7325678074588043,-0.888415,-4.36757,-0.921688,-4.89787,-0.84254,-3.63644,1.2359243575001713,1.3975977929447716,7.198850256815884,1.3975977929447716,-1.481199659015847,2.513472894993959,3.892797138307597,-0.013445623714510217,0.017128208241003588
-0.8226887190464819,-3.8696092179983883,0.5624580827839523,0.7348258814848594,-0.829878,-4.36983,-0.837961,-4.93223,-0.819318,-3.63508,1.2655684722041496,1.4009266972037955,7.241901543969445,1.4009266972037955,-1.4821360425106744,2.5074221184727064,3.8607967560845475,-0.035262965802418916,0.01692921482757268
-0.7885256788994616,-3.864615060448521,0.5731319961623151,0.7342553500118332,-0.771341,-4.36926,-0.751836,-4.94206,-0.79633,-3.63543,1.2545604897421039,1.4044396759826914,7.284350231676475,1.4044396759826914,-1.483727009611729,2.4947664077242124,3.7304062319410867,-0.030948016113031176,0.016778606156189268
-0.7548528446435285,-3.8581977092303625,0.5838124538445539,0.730844245199345,-0.712805,-4.36584,-0.664613,-4.94766,-0.773134,-3.63749,1.2027242666808167,1.4058528857926778,7.326208934683371,1.4058528857926778,-1.4852085299143487,2.483607360788321,3.768430085289086,-0.01771611511716017,0.01727525668093727
-0.7204557420671245,-3.850137189252151,0.5973388259346618,0.7245592773714242,-0.654268,-4.35956,-0.577305,-4.95192,-0.747623,-3.64104,1.3033092771411088,1.4077832953072325,7.3691138893356545,1.4077832953072325,-1.4862682787576227,2.4763156185525577,3.574673732630937,-0.021413896759658765,0.01514817441913113
